ID;Согласие;Приоритет;Физика_ИКТ;Русский;Математика;ИД;Сумма
298;0;3;60;75;92;10;237
177;0;1;94;73;60;10;237
831;0;4;52;80;94;10;236
924;0;4;83;53;98;2;236
1317;0;3;76;58;95;7;236
2238;0;2;63;70;98;5;236
738;0;2;99;58;79;0;236
1316;0;3;100;84;49;2;235
1383;0;3;97;90;40;8;235
1476;0;3;58;95;76;6;235
1807;0;2;75;75;85;0;235
2011;0;2;92;82;52;9;235
2232;0;2;60;97;69;9;235
199;0;4;90;82;62;1;235
67;0;2;46;97;92;0;235
689;0;2;100;85;40;10;235
729;0;2;80;55;91;9;235
1450;0;3;91;44;92;7;234
1805;0;2;79;100;49;6;234
2045;0;2;81;76;68;9;234
2099;0;2;92;73;67;2;234
2382;0;1;78;70;85;1;234
2404;0;1;79;99;52;4;234
2411;0;1;83;54;89;8;234
197;0;4;93;66;73;2;234
220;0;4;50;97;79;8;234
722;0;2;78;51;95;10;234
164;0;1;58;84;82;10;234
874;0;4;82;71;70;10;233
901;0;4;93;60;77;3;233
1791;0;2;99;64;70;0;233
2392;0;1;75;53;95;10;233
205;0;4;71;82;70;10;233
677;0;2;95;54;82;2;233
159;0;1;84;82;65;2;233
935;0;4;97;61;69;5;232
1373;0;3;94;73;56;9;232
2040;0;2;85;83;63;1;232
2163;0;2;82;91;57;2;232
208;0;4;92;63;70;7;232
296;0;3;97;81;49;5;232
47;0;2;55;84;92;1;232
803;0;4;94;62;65;10;231
896;0;4;89;82;53;7;231
967;0;4;87;96;47;1;231
1297;0;3;99;66;64;2;231
2153;0;2;91;81;55;4;231
2191;0;2;54;80;88;9;231
224;0;4;100;83;42;6;231
264;0;3;100;91;40;0;231
307;0;3;41;87;100;3;231
174;0;1;81;68;79;3;231
905;0;4;67;100;54;9;230
1369;0;3;92;42;87;9;230
2016;0;2;99;79;50;2;230
2062;0;2;81;82;57;10;230
2079;0;2;53;77;98;2;230
2107;0;2;42;87;91;10;230
2240;0;2;96;43;91;0;230
688;0;2;72;66;87;5;230
934;0;4;91;81;56;1;229
940;0;4;90;80;56;3;229
950;0;4;89;89;50;1;229
966;0;4;53;86;84;6;229
1429;0;3;61;66;99;3;229
2036;0;2;66;61;98;4;229
2157;0;2;54;92;83;0;229
209;0;4;55;82;85;7;229
293;0;3;89;75;56;9;229
83;0;2;86;49;91;3;229
681;0;2;88;50;81;10;229
168;0;1;59;95;74;1;229
806;0;4;84;83;52;9;228
816;0;4;40;84;99;5;228
2413;0;1;85;47;90;6;228
187;0;4;71;67;85;5;228
228;0;4;89;74;64;1;228
515;0;2;73;97;58;0;228
566;0;2;93;40;90;5;228
880;0;4;69;81;73;4;227
947;0;4;80;70;70;7;227
1751;0;2;99;54;73;1;227
2175;0;2;71;54;99;3;227
301;0;3;96;74;52;5;227
683;0;2;70;81;75;1;227
699;0;2;58;87;78;4;227
824;0;4;98;52;71;5;226
1834;0;2;41;79;99;7;226
2085;0;2;86;85;54;1;226
2212;0;2;90;72;56;8;226
2216;0;2;41;85;93;7;226
2222;0;2;64;70;84;8;226
2237;0;2;79;50;87;10;226
2239;0;2;99;82;44;1;226
706;0;2;57;63;96;10;226
725;0;2;91;65;68;2;226
829;0;4;58;84;79;4;225
1488;0;3;40;90;85;10;225
2086;0;2;79;82;61;3;225
2108;0;2;93;54;73;5;225
2146;0;2;71;82;70;2;225
2160;0;2;91;43;86;5;225
2183;0;2;62;82;76;5;225
2193;0;2;92;58;71;4;225
282;0;3;62;100;55;8;225
680;0;2;73;84;66;2;225
895;0;4;61;88;65;10;224
914;0;4;59;70;88;7;224
917;0;4;88;56;77;3;224
918;0;4;79;54;82;9;224
1403;0;3;68;72;82;2;224
1413;0;3;83;53;84;4;224
2154;0;2;77;68;69;10;224
2181;0;2;65;97;59;3;224
2236;0;2;58;67;99;0;224
2242;0;2;75;56;93;0;224
192;0;4;58;75;88;3;224
548;0;2;50;100;64;10;224
728;0;2;63;80;78;3;224
976;0;4;99;54;65;5;223
985;0;4;59;63;100;1;223
2234;0;2;57;84;79;3;223
2248;0;2;85;52;84;2;223
294;0;3;68;94;61;0;223
171;0;1;70;62;88;3;223
176;0;1;70;49;94;10;223
564;0;2;91;46;81;5;223
741;0;2;57;69;91;6;223
855;0;4;83;57;82;0;222
1431;0;3;62;82;77;1;222
2103;0;2;92;73;57;0;222
2125;0;2;48;84;86;4;222
230;0;4;58;61;98;5;222
526;0;2;91;44;81;6;222
807;0;4;54;100;67;0;221
838;0;4;54;95;68;4;221
843;0;4;65;55;94;7;221
1497;0;3;83;85;52;1;221
1752;0;2;52;99;70;0;221
2003;0;2;91;75;51;4;221
2076;0;2;88;77;47;9;221
2196;0;2;77;60;84;0;221
2414;0;1;92;53;68;8;221
825;0;4;63;79;70;8;220
876;0;4;75;70;72;3;220
1487;0;3;98;71;45;6;220
2418;0;1;100;69;48;3;220
554;0;2;98;55;66;1;220
904;0;4;58;74;82;5;219
1298;0;3;75;50;94;0;219
1499;0;3;65;81;63;10;219
1809;0;2;49;92;75;3;219
2024;0;2;43;92;76;8;219
2123;0;2;69;86;58;6;219
222;0;4;74;58;81;6;219
6;0;3;80;64;67;8;219
297;0;3;55;100;56;8;219
178;0;1;98;50;61;10;219
707;0;2;56;89;64;10;219
158;0;1;53;90;74;2;219
830;0;4;77;45;91;5;218
1321;0;3;65;53;100;0;218
1778;0;2;41;91;80;6;218
2054;0;2;61;97;55;5;218
2098;0;2;62;66;85;5;218
10;0;3;82;52;77;7;218
748;0;2;79;60;73;6;218
962;0;4;81;66;64;6;217
1387;0;3;66;54;95;2;217
1395;0;3;99;57;58;3;217
1428;0;3;47;95;66;9;217
1454;0;3;72;63;76;6;217
1463;0;3;47;99;64;7;217
2065;0;2;63;59;87;8;217
84;0;2;88;73;52;4;217
828;0;4;46;99;64;7;216
1325;0;3;57;88;70;1;216
1356;0;3;56;59;96;5;216
1382;0;3;49;100;67;0;216
1757;0;2;66;72;73;5;216
1769;0;2;92;62;59;3;216
2151;0;2;90;71;52;3;216
2393;0;1;62;53;94;7;216
528;0;2;82;71;56;7;216
674;0;2;85;85;45;1;216
726;0;2;55;89;65;7;216
801;0;4;95;60;58;2;215
805;0;4;77;65;69;4;215
925;0;4;42;95;74;4;215
1379;0;3;65;65;76;9;215
1400;0;3;96;46;73;0;215
2116;0;2;52;89;73;1;215
225;0;4;84;59;72;0;215
719;0;2;52;74;82;7;215
866;0;4;98;42;68;6;214
1477;0;3;68;90;53;3;214
1799;0;2;86;43;80;5;214
1810;0;2;57;75;79;3;214
2119;0;2;80;50;79;5;214
2199;0;2;62;99;51;2;214
80;0;2;48;72;84;10;214
869;0;4;54;74;75;10;213
894;0;4;74;82;51;6;213
916;0;4;100;42;67;4;213
931;0;4;49;100;64;0;213
1391;0;3;81;81;51;0;213
2214;0;2;88;53;63;9;213
213;0;4;78;82;50;3;213
540;0;2;73;62;77;1;213
837;0;4;57;81;72;2;212
939;0;4;53;100;59;0;212
1294;0;3;47;74;87;4;212
1339;0;3;48;91;71;2;212
1444;0;3;75;81;51;5;212
1483;0;3;57;67;79;9;212
2179;0;2;58;53;100;1;212
2186;0;2;44;97;64;7;212
76;0;2;62;64;84;2;212
567;0;2;74;74;64;0;212
864;0;4;74;72;64;1;211
888;0;4;72;47;82;10;211
979;0;4;52;86;63;10;211
1406;0;3;59;92;52;8;211
1455;0;3;43;83;77;8;211
2042;0;2;88;43;76;4;211
2250;0;2;65;45;94;7;211
2385;0;1;74;47;83;7;211
214;0;4;46;72;87;6;211
223;0;4;76;88;45;2;211
295;0;3;63;50;94;4;211
690;0;2;62;91;54;4;211
744;0;2;67;83;59;2;211
899;0;4;82;73;54;1;210
954;0;4;53;79;73;5;210
1461;0;3;96;65;40;9;210
2074;0;2;52;89;64;5;210
2141;0;2;79;85;41;5;210
2159;0;2;85;79;46;0;210
2223;0;2;57;98;55;0;210
2394;0;1;57;61;85;7;210
870;0;4;59;92;55;3;209
875;0;4;90;43;71;5;209
1408;0;3;43;65;93;8;209
2113;0;2;93;57;55;4;209
2143;0;2;73;70;66;0;209
2176;0;2;60;75;72;2;209
2180;0;2;98;63;43;5;209
219;0;4;73;76;57;3;209
79;0;2;81;63;64;1;209
1315;0;3;43;99;57;9;208
1340;0;3;82;44;80;2;208
1466;0;3;45;69;88;6;208
2077;0;2;69;61;69;9;208
2096;0;2;59;73;73;3;208
2243;0;2;62;90;46;10;208
195;0;4;49;61;96;2;208
196;0;4;74;73;55;6;208
71;0;2;96;52;54;6;208
78;0;2;63;91;44;10;208
524;0;2;87;48;64;9;208
703;0;2;85;72;45;6;208
867;0;4;76;44;78;9;207
1367;0;3;86;71;50;0;207
2124;0;2;51;95;60;1;207
9;0;3;94;58;49;6;207
269;0;3;72;66;60;9;207
304;0;3;65;78;56;8;207
545;0;2;82;47;71;7;207
848;0;4;58;59;81;8;206
958;0;4;100;57;45;4;206
1432;0;3;45;71;86;4;206
1445;0;3;46;71;86;3;206
1460;0;3;69;47;90;0;206
2100;0;2;80;58;64;4;206
38;0;2;52;95;58;1;206
702;0;2;65;84;52;5;206
877;0;4;63;40;95;7;205
1327;0;3;71;46;81;7;205
1409;0;3;88;60;56;1;205
1462;0;3;60;89;56;0;205
1827;0;2;67;74;58;6;205
1;0;4;61;97;45;2;205
215;0;4;66;99;40;0;205
714;0;2;68;49;82;6;205
889;0;4;47;78;74;5;204
1481;0;3;49;73;80;2;204
2006;0;2;55;49;98;2;204
2102;0;2;87;46;61;10;204
2165;0;2;66;59;70;9;204
181;0;4;93;57;49;5;204
217;0;4;82;61;54;7;204
65;0;2;46;71;86;1;204
552;0;2;83;80;40;1;204
560;0;2;66;90;42;6;204
697;0;2;43;91;70;0;204
851;0;4;94;42;66;1;203
1495;0;3;67;68;65;3;203
2014;0;2;50;49;95;9;203
2097;0;2;59;70;68;6;203
2109;0;2;69;40;90;4;203
2410;0;1;83;48;71;1;203
800;0;4;59;87;47;9;202
834;0;4;78;58;56;10;202
850;0;4;88;69;42;3;202
968;0;4;64;40;92;6;202
972;0;4;50;63;79;10;202
990;0;4;91;40;68;3;202
1381;0;3;47;86;69;0;202
1435;0;3;67;51;83;1;202
2029;0;2;78;40;80;4;202
201;0;4;62;48;85;7;202
202;0;4;74;65;62;1;202
292;0;3;63;78;60;1;202
533;0;2;43;73;77;9;202
1343;0;3;55;86;55;5;201
1404;0;3;62;84;49;6;201
1836;0;2;50;45;100;6;201
2047;0;2;54;63;76;8;201
185;0;4;46;93;58;4;201
207;0;4;46;92;61;2;201
562;0;2;67;47;87;0;201
920;0;4;86;52;52;10;200
1336;0;3;81;61;51;7;200
1433;0;3;80;47;66;7;200
2150;0;2;84;44;68;4;200
2167;0;2;57;64;75;4;200
2174;0;2;52;45;97;6;200
2185;0;2;72;60;65;3;200
2188;0;2;71;74;45;10;200
265;0;3;55;56;84;5;200
39;0;2;57;40;97;6;200
732;0;2;98;40;52;10;200
739;0;2;91;40;62;7;200
885;0;4;69;58;68;4;199
975;0;4;43;81;73;2;199
1392;0;3;63;63;70;3;199
1425;0;3;89;57;48;5;199
2241;0;2;82;49;64;4;199
287;0;3;86;54;50;9;199
43;0;2;40;77;75;7;199
1332;0;3;51;99;42;6;198
1338;0;3;64;70;60;4;198
1361;0;3;70;54;65;9;198
1438;0;3;84;45;62;7;198
1440;0;3;62;88;47;1;198
1764;0;2;45;73;77;3;198
1814;0;2;53;51;85;9;198
1823;0;2;93;48;48;9;198
2132;0;2;42;72;75;9;198
2215;0;2;50;79;64;5;198
191;0;4;100;43;50;5;198
279;0;3;43;86;67;2;198
85;0;2;55;43;96;4;198
550;0;2;84;46;63;5;198
943;0;4;64;42;91;0;197
1412;0;3;87;53;55;2;197
1821;0;2;60;78;54;5;197
2208;0;2;84;45;65;3;197
693;0;2;90;60;46;1;197
734;0;2;45;66;79;7;197
980;0;4;72;47;68;9;196
1295;0;3;81;43;62;10;196
1841;0;2;69;72;50;5;196
2049;0;2;68;78;47;3;196
2397;0;1;68;42;78;8;196
189;0;4;57;93;44;2;196
77;0;2;74;63;54;5;196
179;0;1;100;40;51;5;196
717;0;2;80;56;55;5;196
923;0;4;52;64;76;3;195
1312;0;3;73;63;58;1;195
1334;0;3;64;42;86;3;195
1451;0;3;62;71;57;5;195
1471;0;3;51;92;47;5;195
2244;0;2;92;41;58;4;195
198;0;4;46;64;83;2;195
254;0;3;47;52;92;4;195
290;0;3;98;40;51;6;195
308;0;3;88;51;46;10;195
40;0;2;49;69;72;5;195
64;0;2;80;53;57;5;195
852;0;4;81;67;44;2;194
871;0;4;44;76;67;7;194
982;0;4;51;44;97;2;194
1291;0;3;93;51;40;10;194
1376;0;3;87;55;50;2;194
1434;0;3;82;46;58;8;194
2095;0;2;64;79;50;1;194
2138;0;2;68;60;59;7;194
2227;0;2;85;48;61;0;194
2416;0;1;96;53;42;3;194
37;0;2;66;71;55;2;194
48;0;2;69;67;58;0;194
740;0;2;51;78;65;0;194
1489;0;3;54;69;66;4;193
2028;0;2;88;59;41;5;193
2189;0;2;91;41;58;3;193
2249;0;2;77;46;63;7;193
516;0;2;89;49;55;0;193
695;0;2;66;54;70;3;193
715;0;2;59;47;77;10;193
891;0;4;74;42;76;0;192
1309;0;3;88;48;54;2;192
1436;0;3;61;49;77;5;192
1452;0;3;63;44;77;8;192
1789;0;2;40;72;70;10;192
1837;0;2;48;91;44;9;192
2122;0;2;79;44;67;2;192
2195;0;2;51;62;78;1;192
2218;0;2;55;61;67;9;192
216;0;4;82;48;52;10;192
263;0;3;62;45;83;2;192
1358;0;3;59;85;45;2;191
1782;0;2;43;85;61;2;191
2084;0;2;56;40;89;6;191
2129;0;2;52;89;43;7;191
267;0;3;79;44;67;1;191
86;0;2;48;74;61;8;191
513;0;2;69;65;51;6;191
551;0;2;43;71;76;1;191
691;0;2;44;46;96;5;191
919;0;4;56;68;60;6;190
1306;0;3;73;53;59;5;190
2131;0;2;93;40;56;1;190
682;0;2;81;58;45;6;190
716;0;2;76;44;70;0;190
951;0;4;51;54;74;10;189
1329;0;3;56;72;54;7;189
1385;0;3;98;41;48;2;189
1756;0;2;46;85;49;9;189
257;0;3;51;60;68;10;189
73;0;2;97;40;44;8;189
530;0;2;83;64;42;0;189
709;0;2;100;45;43;1;189
898;0;4;42;96;43;7;188
1414;0;3;53;56;70;9;188
1458;0;3;49;88;47;4;188
1838;0;2;69;42;77;0;188
2245;0;2;58;51;79;0;188
2405;0;1;62;55;67;4;188
730;0;2;55;73;52;8;188
903;0;4;70;60;48;9;187
933;0;4;52;85;49;1;187
1308;0;3;81;51;48;7;187
1759;0;2;73;43;67;4;187
1816;0;2;64;55;58;10;187
2106;0;2;55;83;43;6;187
2121;0;2;61;59;60;7;187
2171;0;2;69;41;69;8;187
70;0;2;50;88;44;5;187
546;0;2;40;76;68;3;187
930;0;4;66;49;66;5;186
1371;0;3;41;63;77;5;186
1407;0;3;50;41;94;1;186
1473;0;3;72;63;41;10;186
2044;0;2;60;43;79;4;186
2228;0;2;71;63;52;0;186
252;0;3;71;63;46;6;186
44;0;2;47;66;71;2;186
72;0;2;85;40;56;5;186
892;0;4;90;46;49;0;185
908;0;4;52;80;48;5;185
1415;0;3;54;44;84;3;185
2104;0;2;42;85;55;3;185
2415;0;1;47;65;71;2;185
193;0;4;77;66;40;2;185
169;0;1;57;64;64;0;185
525;0;2;40;96;47;2;185
1417;0;3;57;87;40;0;184
2221;0;2;66;60;51;7;184
227;0;4;92;41;44;7;184
69;0;2;80;56;48;0;184
692;0;2;57;57;69;1;184
1380;0;3;79;40;57;7;183
1402;0;3;66;63;50;4;183
1846;0;2;93;44;44;2;183
273;0;3;52;55;71;5;183
1804;0;2;62;52;64;4;182
2187;0;2;48;73;58;3;182
804;0;4;44;51;82;4;181
1350;0;3;85;43;51;2;181
2020;0;2;78;60;40;3;181
2388;0;1;59;50;71;1;181
309;0;3;47;93;40;1;181
1775;0;2;59;70;42;9;180
2408;0;1;88;42;50;0;180
271;0;3;49;73;48;10;180
303;0;3;62;57;59;2;180
860;0;4;42;57;80;0;179
1320;0;3;56;57;66;0;179
1348;0;3;58;62;56;3;179
2030;0;2;49;71;54;5;179
2389;0;1;73;49;51;6;179
1296;0;3;43;69;62;4;178
1326;0;3;63;53;62;0;178
1439;0;3;59;57;62;0;178
2112;0;2;42;79;54;3;178
2120;0;2;42;56;80;0;178
2142;0;2;62;66;40;10;178
258;0;3;66;50;56;6;178
942;0;4;73;41;59;4;177
1362;0;3;49;48;76;4;177
1364;0;3;74;40;58;5;177
302;0;3;46;40;85;6;177
306;0;3;45;51;81;0;177
63;0;2;55;53;64;5;177
857;0;4;40;47;87;2;176
868;0;4;60;65;47;4;176
2144;0;2;72;55;42;7;176
556;0;2;49;61;59;7;176
1331;0;3;47;75;48;5;175
1386;0;3;41;87;47;0;175
1459;0;3;54;63;56;2;175
2008;0;2;49;72;47;7;175
2161;0;2;42;84;45;4;175
2386;0;1;81;42;46;6;175
963;0;4;46;53;70;5;174
1333;0;3;50;61;55;8;174
1486;0;3;43;42;85;4;174
2066;0;2;73;58;42;1;174
2247;0;2;65;50;52;7;174
537;0;2;68;49;49;8;174
822;0;4;46;40;81;6;173
1293;0;3;45;57;62;9;173
1341;0;3;41;52;77;3;173
1467;0;3;40;74;58;1;173
1847;0;2;48;70;48;7;173
2409;0;1;45;58;68;2;173
82;0;2;51;68;50;4;173
170;0;1;41;43;83;5;172
678;0;2;46;69;52;5;172
928;0;4;55;40;69;7;171
949;0;4;45;41;85;0;171
1304;0;3;73;44;46;8;171
2115;0;2;61;65;41;4;171
1342;0;3;43;78;48;1;170
1418;0;3;58;64;41;7;170
2038;0;2;86;40;43;1;170
1493;0;3;51;53;63;2;169
1762;0;2;49;47;68;5;169
1811;0;2;63;54;46;6;169
283;0;3;79;42;40;8;169
704;0;2;41;66;59;3;169
165;0;1;66;48;49;6;169
792;0;4;42;65;61;0;168
811;0;4;65;45;49;9;168
559;0;2;44;46;72;6;168
686;0;2;75;46;45;2;168
865;0;4;61;56;44;6;167
941;0;4;46;57;55;9;167
1319;0;3;61;56;44;6;167
1377;0;3;47;42;71;7;167
926;0;4;50;69;42;5;166
879;0;4;47;46;68;4;165
944;0;4;65;53;44;3;165
1423;0;3;47;61;53;4;165
2140;0;2;73;45;40;7;165
2168;0;2;58;56;44;7;165
2230;0;2;44;64;54;3;165
1430;0;3;44;46;66;8;164
2137;0;2;45;40;71;8;164
698;0;2;46;42;75;1;164
799;0;4;48;65;42;8;163
1784;0;2;47;63;48;5;163
2211;0;2;51;57;52;3;163
849;0;4;56;46;57;3;162
1500;0;3;52;67;42;1;162
182;0;4;46;54;60;1;161
1399;0;3;51;43;57;9;160
2169;0;2;40;57;59;4;160
277;0;3;54;57;48;1;160
952;0;4;43;68;41;6;158
2390;0;1;49;44;64;1;158
74;0;2;53;49;48;8;158
823;0;4;63;40;47;7;157
913;0;4;59;44;53;1;157
961;0;4;65;47;41;4;157
2089;0;2;58;40;57;2;157
2147;0;2;70;42;40;5;157
833;0;4;40;63;46;7;156
2135;0;2;45;52;57;2;156
819;0;4;44;42;59;10;155
1437;0;3;45;49;58;3;155
1442;0;3;54;61;40;0;155
836;0;4;59;45;48;1;153
2058;0;2;57;44;52;0;153
1324;0;3;51;48;48;4;151
11;0;3;41;41;66;3;151
1822;0;2;45;56;46;3;150
259;0;3;56;49;42;3;150
2088;0;2;47;44;51;7;149
532;0;2;45;49;50;5;149
163;0;1;40;62;42;4;148
1419;0;3;45;57;43;2;147
2226;0;2;44;44;50;9;147
2417;0;1;43;57;46;0;146
270;0;3;54;40;48;4;146
542;0;2;44;43;55;1;143
1390;0;3;41;44;44;10;139
1441;0;3;48;43;43;5;139
68;0;2;52;42;42;2;138
1422;0;3;40;53;41;2;136
49;0;2;42;50;40;4;136
2022;0;2;41;40;48;4;133
